id, x, y
1, -1.274707, -0.458379
3, -1.075032, 4.12235
5, -0.50128, 1.538357
7, 2.074430, 4.07726
9, 3.11284, 0.882415
11, 1.472976, 1.574148

current id, accessible id, distance
start, 5, 1.617969
start, 11, 2.155829
5, 11, 1.97458
5, 1, 2.141295
11, 5, 1.97458
11, 3, 3.603565
3, 7, 3.149785
3, 11, 3.603565
3, 1, 4.585079
7, 9, 3.359365
7, 3, 3.149785
1, 3, 4.585079
1, 5, 2.141295
9, 7, 3.359365
